name,desc
Boss Bok Choy,"A popular winter crop. The colder it is, the sweeter it gets!"
Hot-Hot Fruit,Covered in fuzz. Some use it to boil water.
Giant Hot-Hot Fruit,Covered in fuzz. Some use it to boil water.
Bamboo Sprout,Known for its crunchy texture and fragrant allure. Grows quickly during spring.
Golden Cabbage,A rare golden vegetable. Suddenly changed its color through a mysterious power.
Golden King Cabbage,A rare golden vegetable. Suddenly changed its color through a mysterious power.
Golden Pumpkin,A rare golden vegetable. It has a ghostly aura even when uncarved and unpainted.
Gldn. Doom Pumpkin,A rare golden vegetable. It has a ghostly aura even when uncarved and unpainted.
Golden Potato,"A rare golden vegetable. Easy to spot, as its light shines brightly through the ground."
Gold Prince Potato,"A rare golden vegetable. Easy to spot, as its light shines brightly through the ground."
Golden Turnip,A rare golden vegetable. Invented in an effort to create turnips that looked like blonde hair. Truly the work of a madman.
Golden Tyrant Turnip,A rare golden vegetable. Invented in an effort to create turnips that looked like blonde hair. Truly the work of a madman.
Mushroom,Wild mushroom. You would have to test and see if it's safe to eat. Go on. I dare you.
Mushroom,Wild mushroom. You would have to test and see if it's safe to eat. Go on. I dare you.
Mushroom,Wild mushroom. You would have to test and see if it's safe to eat. Go on. I dare you.
Mushroom,Wild mushroom. You would have to test and see if it's safe to eat. Go on. I dare you.
Mushroom,Wild mushroom. You would have to test and see if it's safe to eat. Go on. I dare you.
Mushroom,Wild mushroom. You would have to test and see if it's safe to eat. Go on. I dare you.
Monarch Mushroom,The king of mushrooms. Has such a profound flavor that even royalty must bow down.
Strawberry,The red fairy of the dining table. Its sweet and sour kiss never fails to attract people.
Sultan Strawberry,The red fairy of the dining table. Its sweet and sour kiss never fails to attract people.
Pineapple,Tropical fruit with a hint of sourness hidden amidst its sweet flavor. Feel the tropical sun!
King Pineapple,Tropical fruit with a hint of sourness hidden amidst its sweet flavor. Feel the tropical sun!
Grapes,Small purple fruits growing in clusters. They say that royalty would hire servants to pluck these piece-by-piece for them out of laziness. Sweet and juicy.
Apple,"A pretty red fruit with high nutrition. Known for the old saying, ""an apple a day keeps the doctor away."""
Orange,A fruit with a good balance between sweet and sour. Your fingers can turn yellow if you eat too much of it.
Mealy Apple,"Eew, gross! Makes you very, very weak."
Toyherb,"An herb that promotes good health. Hard to grow, but cures fatigue."
Ultra Toyherb,"An herb that promotes good health. Hard to grow, but cures fatigue."
Moondrop Flower,A unique and beautiful yellow flower that grows in the moonlight.
Ultra Moondrop Flower,A unique and beautiful yellow flower that grows in the moonlight.
Pink Cat,Flower with vibrant pink blossoms. Named 'cat' for its cuteness.
King Pink Cat,Flower with vibrant pink blossoms. Named 'cat' for its cuteness.
Charm Blue,A deep blue flower. Practically swallows you into its beautiful blossoms.
Great Charm Blue,A deep blue flower. Practically swallows you into its beautiful blossoms.
Medicinal Herb,A wild herb with a bitter taste. Helps regain energy.
Antidote Grass,"A grass that purifies poisons in the body. Very bitter, but effective."
Black Grass,"Grass with a dull, mysterious glow like muffled black light. Hard to see at night, so it's often stepped on."
Orange Grass,Grass as orange as the sun. Its bright color gives you energy just by looking at it.
Red Grass,Grass of passion. Its red color helps it grow faster than other grasses.
Yellow Grass,Grass which brings you luck. People carry it in hopes that it will make them rich.
Blue Grass,A nifty blue grass that's cold to the touch. Used in medicine due to its soothing effect.
Green Grass,Plain green grass. Trying hard to change so people will stop calling it boring.
Purple Grass,A sophisticated purple grass. Has trouble getting along with the other grasses due to its massive ego.
Indigo Grass,Soothing grass that supposedly resolves arguments just by being there.
White Grass,"Beautiful grass of purest white. Hard to find in winter since it blends in with the snow. Fragile, but noble."
Weeds,"Grows anywhere, anytime. It doesn't obey any rules. It does its own thing. And that's why it's cool."
Withered Grass,"You'd get sick if you ate this grass, but it can be used to improve the quality of soil."
Cherry Grass,"A plant that works hard to be prettier than all the other flowers. Other flowers sometimes sneer, but they're just jealous. Can be found in spring."
King Cherry Grass,"A plant that works hard to be prettier than all the other flowers. Other flowers sometimes sneer, but they're just jealous. Can be found in spring."
Lamp Grass,A grass with luminous powder all throughout its blossomed stem. Has a strong calming effect.
Kaiser Lamp Grass,A grass with luminous powder all throughout its blossomed stem. Has a strong calming effect.
Blue Crystal,A flower made of rune crystals that mixed together in the ground. Appears blue during spring.
Big Blue Crystal,A flower made of rune crystals that mixed together in the ground. Appears blue during spring.
Emery Flower,A unique golden flower that's extremely tough and resilient. Don't step on it or it'll really hurt!
Great Emery Flower,A unique golden flower that's extremely tough and resilient. Don't step on it or it'll really hurt!
Ironleaf,A plant with many spikes. Its unique shape is the result of iron content collected from the ground.
Super Ironleaf,A plant with 1000 spikes. Its unique shape is the result of iron content collected from the ground.
4-Leaf Clover,"A plant which brings you good luck. Carry it around or make it a gift, and happiness will follow you!"
Great 4-Leaf Clover,"A plant which brings you good luck. Carry it around or make it a gift, and happiness will follow you!"
Fireflower,"A flower with a unique shape. Also called the 'Mountain Fireworks,' as you can almost hear the sounds of exploding powder when you pluck it."
Big Fireflower,"A flower with a unique shape. Also called the 'Mountain Fireworks,' as you can almost hear the sounds of exploding powder when you pluck it."
Green Crystal,A flower made of rune crystals that mixed together in the ground. Appears green during summer.
Big Green Crystal,A flower made of rune crystals that mixed together in the ground. Appears green during summer.
Noel Grass,Weirdly tree-shaped plant. Can be fun to decorate in winter.
Large Noel Grass,Weirdly tree-shaped plant. Can be fun to decorate in winter.
Autumn Grass,A plant which grows colorful flowers. Named as it is due to its autumnal color scheme.
Big Autumn Grass,A plant which grows colorful flowers. Named as it is due to its autumnal color scheme.
Pom-Pom Grass,"Has white cotton-like flowers in its center. Looks cute like a dandelion, but is poisonous, so say no to the blow!"
King Pom-Pom Grass,"Has white cotton-like flowers in its center. Looks cute like a dandelion, but is poisonous, so say no to the blow!"
Red Crystal,A flower made of rune crystals that mixed together in the ground. Appears red during autumn.
Big Red Crystal,A flower made of rune crystals that mixed together in the ground. Appears red during autumn.
White Crystal,A flower made of rune crystals that mixed together in the ground. Appears white during winter.
Big White Crystal,A flower made of rune crystals that mixed together in the ground. Appears white during winter.
Ayngondaia Lawn,"A rare plant. Imbued with incredible vitality, rumor has it that this bright bounty has rejuvenating qualities."
The Protein,"A specially made medicine. Increases maximum strength. Get fit, brah."
Intelligencer,A specially made medicine. Increases maximum intelligence.
Vital Gummi,A specially made medicine. Increases maximum vitality.
Heart Drink,A specially made medicine. Increases maximum HP.
Antidote Potion,Easier to take than herbs. Used for curing poison.
Para-Gone,Medicine that cures paralysis.
Roundoff,Medicine that dissolves seals.
Cold Medicine,Caught a cold? Nine out of ten doctors agree this medicine will cure it. And the tenth one is a quack.
Formuade,"Medicine made from fertilizer. Tastes awful, but whatever doesn't kill you can only make you stronger, right?"
Love Potion,A medicine loved by all. Give it to someone and they might like you. Heals all status effects.
Invinciroid,"You can be invincible! ...Or not. But it cures all status effects, so that's pretty cool."
Leveliser,A medicine made from a hodge-podge of things. Heats your body and increases your level.
Heavy Spice,Seasoning made from hot leaves. One bite and your mouth will be on fire!
Sweet Powder,Seasoning made from sweet leaves. Reminds you of sweet honey.
Sour Drop,"Seasoning made from sour leaves. Mouth- puckering, but leaves you feeling refreshed."
Mixed Herbs,Seasoning made from various herbs. Has a savory scent.
Recovery Potion,A light green-colored medicinal drink. Recovers HP.
Healing Potion,A deep green-colored medicinal drink. Recovers HP.
Mystery Potion,A blue-colored medicinal drink. Recovers HP.
Magical Potion,One of the greatest achievements of magic medical science. Was only possible through the greatest of efforts.
Object X,"A substance created from a failed Synthesis. How did it happen? Who knows, but it's not for eating. Seriously."
Failed Dish,"A failed dish that got burned. Edible, but tastes pretty bad. Maybe you'll like it, though!"
Disastrous Dish,"How did such a blight upon foodkind come to be? You can try eating it, but I sure wouldn't recommend it..."
Trout Sashimi,Freshly sliced masu trout. Eat it with soy sauce.
Char Sashimi,Freshly sliced char. Eat it with soy sauce.
Rainbow Sashimi,Freshly sliced rainbow trout. Eat it with soy sauce. But beware! It may still have poison in it...
Salmon Sashimi,Freshly sliced salmon. Eat it with soy sauce.
Cherry Sashimi,Freshly sliced cherry salmon. Eat it with soy sauce.
Taimen Sashimi,Freshly sliced taimen. Eat it with soy sauce.
Snapper Sashimi,Freshly sliced snapper. A symbol of good luck.
Glitter Sashimi,"Freshly sliced glitter snapper. Sweet, but prohibitively expensive due to its fabulousness."
Lover Sashimi,"Mmm, precious lover snapper! Eat without seasonings."
Girella Sashimi,Freshly sliced girella. Eat it with soy sauce.
Skipjack Sashimi,Freshly sliced skipjack. Often eaten with ginger.
Yellowtail Sashimi,Freshly sliced yellowtail. Fatty and rich in taste.
Tuna Sashimi,The most expensive and delicious part of tuna. A true delicacy!
Sardine Sashimi,Freshly sliced sardine. Eat it with soy sauce.
Needlefish Sashimi,Freshly sliced needlefish. Eat it with soy sauce.
Pike Sashimi,Freshly sliced pike. Eat it with soy sauce.
Flounder Sashimi,Freshly sliced flounder. The edges are the most valuable part.
Turbot Sashimi,Freshly sliced turbot. The edges are very tasty.
Fall Sashimi,Rare fall flounder sashimi. Its edges are delicious and help maintain one's beautiful glow.
Squid Sashimi,Freshly sliced squid. Eat it with soy sauce.
Sunsquid Sashimi,Passionately sliced sunsquid. Popular in certain regions.
Lamp Squid Sashimi,"Freshly sliced lamp squid. Once you eat its lamp, your fate (and status) is sealed."
Blowfish Sashimi,Thinly sliced fresh blowfish. So thin you can almost see through it!
Lobster Sashimi,"Freshly peeled lobster. Slightly sweet, and particularly popular among children."
Shrimp Sashimi,Freshly peeled shrimp. Eat it with soy sauce.
Fried Veggies,Various vegetables fried together. Much better than eating them raw. But anyone could have told you that- frying makes anything better!
Fried Rice,"Rice and egg fried in oil. The sweet, fluffy egg makes it extra tasty."
Cabbage Cakes,"Water, flour and cabbage mixed and baked like a pancake. Recipes vary from region to region."
French Fries,Peeled and sliced potatoes fried in oil until they're crisp. Hard to resist.
Croquettes,Mashed potatoes packed together and fried in oil. Widely beloved as comfort food.
Popcorn,Corn kernels popped in a pan. Generally eaten with salt.
Corn Cereal,Corn flattened and baked. A popular breakfast food.
Miso Eggplant,Roasted eggplant with miso. Mellow and rich in flavor.
Fried Eggs,Typical home-cooked egg dish. How long they should be fried is up to you!
Omelet,Typical breakfast item eaten around the world. Why is this? Have you met a person who doesn't like omelets? No? Well there you go.
Omelet Rice,Fried rice flavored with ketchup and wrapped in a thin omelet.
Baked Apple,An apple-based dessert item. Good mix of sweet and tart.
Curry Bread,"Bread with curry inside. Crispy on the outside, soft on the inside. Perfect harmony!"
French Toast,"Bread fried with milk and egg. Mmmm, such a delicate texture! Like a work of art..."
Donut,Flour and butter mixed and fried in a convenient ring shape.
Fried Udon,Someone happened to try frying udon noodles. It turned out surprisingly well.
Tempura,Food battered in flour and egg that is later deep fried. A somewhat generic name for a whole category of yumminess.
Pancakes,Eaten for breakfast or as a snack. Possible toppings are limited only by your imagination.
Gyoza,Meat and vegetables wrapped in thin dough and fried. Can also be steamed or boiled.
Risotto,Rice mixed with sauce to create perfect harmony.
Dry Curry,"Unlike normal curry, it's more a powder than a sauce. Can be eaten with rice or bread."
Salted Masu Trout,"Salted and grilled masu trout. The fresher it is, the better it tastes."
Salted Char,"Salted and grilled char. The fresher it is, the better it tastes."
Salted R. Trout,"Salted and grilled rainbow trout. The fresher it is, the better it tastes."
Salted C. Salmon,"Salted and grilled cherry salmon. The fresher it is, the better it tastes."
Salted Chub,"Salted and grilled chub. The fresher it is, the better it tastes."
Salted Salmon,"Salted and grilled salmon. The fresher it is, the better it tastes."
Salted Taimen,"Salted and grilled taimen. The fresher it is, the better it tastes."
Grilled C. Carp,"Salted and grilled crucian carp. The fresher it is, the better it tastes."
Grilled Gibelio,"Salted and grilled gibelio. The fresher it is, the better it tastes."
Grilled Snapper,"Salted and grilled snapper. The fresher it is, the better it tastes."
Grilled Girella,"Salted and grilled girella. The fresher it is, the better it tastes."
Grilled G. Snapper,"Salted and grilled glitter snapper. The fresher it is, the better it tastes."
Grilled L. Snapper,Salted and grilled lover snapper. Surprisingly sweet.
Grilled Skipjack,Lightly grilled skipjack. Taste varies depending on its freshness.
Grilled Mackerel,"Salted and grilled mackerel. The fresher it is, the better it tastes."
Grilled Yellowtail,Salted and grilled yellowtail. Sugar in the teriyaki sauce makes its surface shiny.
Salted Pond Smelt,"Salted and grilled pond smelt. The fresher it is, the better it tastes."
Tuna Teriyaki,"Tuna marinated in teriyaki sauce and fried. To make it shine, apply the sauce repeatedly while cooking."
Dried Sardines,Skewered and dried sardines. Often grilled before eating.
Grilled Needlefish,"Salted and grilled needlefish. The fresher it is, the better it tastes."
Salted Pike,"Salted and grilled pike. The fresher it is, the better it tastes."
Grilled Flounder,"Salted and grilled flounder. The fresher it is, the better it tastes."
Grilled Turbot,"Salted and grilled turbot. The fresher it is, the better it tastes."
Grilled F.Flounder,Salted and grilled fall flounder. Its beautiful colors grab attention.
Grilled Squid,Dried and grilled squid. Makes a great snack when seasoned with chili pepper and mayonnaise.
Grilled Sunsquid,"Dried and grilled sunsquid. Savory, but easily burned."
Grilled Lamp Squid,"A little bitter when grilled, but nonetheless a popular dish among foodies. Perhaps they just like being sealed?"
Grilled Blowfish,"An uncommon dish. Most people wouldn't think to grill blowfish, y'know?"
Grilled Lobster,"A whole lobster, seasoned and grilled. Stands out on the dinner table."
Grilled Shrimp,"Whole shrimp, seasoned and grilled. People love its crispy texture."
Grilled S.Flounder,Salted and grilled sand flounder. You can almost taste the sand.
Hot Milk,Easily made by heating milk. Its relaxing effect helps you sleep at night.
Hot Chocolate,A sweet drink of melted chocolate. Be careful not to get cavities!
Grape Liqueur,Made from wine and grapes in a pot. It can also be drunk by children.
Boiled Pumpkin,Flavored and boiled pumpkin. Soft in texture. Boiling brings out the natural sweetness of the pumpkin.
Boiled Spinach,Boiled and flavored spinach. You must be careful not to over-boil it.
Boiled Egg,A standard egg recipe. The softness of the yolk will change over time.
Glazed Yam,"Fried yam glazed with sweet sauce. Easy to eat, and a popular snack."
Boiled Gyoza,Meat and vegetables wrapped in thick dough and boiled. Very moist.
Strawberry Jam,Jam made by boiling strawberries. Generally eaten with bread.
Apple Jam,Jam made by boiling apples. Generally eaten with bread.
Grape Jam,Jam made by boiling grapes. Generally eaten with bread.
Marmalade,Jam made by boiling oranges. You can eat the orange skin too!
Cheese Fondue,"Cheese melted in a pot. Often scooped up with bread, like a dip."
Udon,Thick and firm noodles. Very smooth and easy to eat.
Curry Udon,"Udon with curry flavor. Though it may seem strange, the two go very well together."
Tempura Udon,"Udon with tempura on top. Some prefer crispy tempura, while others like it soft."
Rice Porridge,"Made by boiling rice. It's good for you, so stop complaining and just eat it already."
Milk Porridge,Milk mixed with rice porridge. Very mild and sweet.
Tempura Bowl,A bowl of rice with tempura and sauce on top. A great combination you can't beat.
Egg Bowl,A bowl of rice with flavored egg on top. You can adjust the flavor as you like.
Stew,Boiled milk and vegetables. Popular for its thickness and sweetness.
Curry Rice,A staple dish commonly served in households that enjoy curry.
Ultimate Curry,The fruit of intense efforts to create the greatest curry. Perfect in many ways.
Royal Curry,Curry loved by nobles. Requires high cooking skills to make.
Relax Tea,Tea with a calming flavor and aroma. Cures all status effects besides colds.
Grilled Miso,Boiled and flavored with radish. Very mild and good for digestion.
Union Stew,"Various ingredients boiled in one large pot. People surround the pot and eat it together. Teamwork, ho!"
Rockfish Stew,"Rockfish stewed until it melts. Eat it and you'll feel like a rockfish, too. In a good way. No, seriously."
Corn on the Cob,Fragrantly roasted corn. Very sweet.
Baked Onigiri,"A ""rice ball"" baked on both sides. Has an addictively crunchy texture."
Sweet Potato,A slow-roasted sweet potato. Often cooked over bonfires in the fall.
Toast,Browned bread. Neck-and-neck with rice in the struggle for worldwide breakfast dominance.
Jam Roll,Bread baked with jam. Can be eaten as a snack.
Butter Roll,"Sweet bread with butter. Also known as ""table rolls"" or ""dinner rolls."" Small and easy to eat."
Pizza,Toppings placed on round dough and baked in the oven. Possibly the greatest invention of all time.
Seafood Pizza,Pizza with seafood toppings. Stimulates taste buds with its dazzling appearance and fishy aroma.
Doria,"Rice covered with homemade sauce, baked to perfection. Crispy on the outside, mellow on the inside."
Seafood Doria,Doria with various seafood in it. So filling that you won't need much rice before you feel full.
Gratin,"Sauce and cheese mixed and baked. Cooked in the same bowl you eat it from, so watch your fingers!"
Seafood Gratin,Gratin with seafood. It's recommended to heat the milk before ingesting.
Yam of the Ages,"Pureed yam mixed with butter and milk, shaped and baked. Sweet and savory."
Cookie,"Confection made from flour and dough. Crisp and heartwarming, Makes a great gift!"
Choco Cookie,Confection made from flour and dough. Chocolate color and a bittersweet taste make it a very mature indulgence.
Cake,A simple cake with cream and strawberries.
Chocolate Cake,Bittersweet cake covered with chocolate.
Cheesecake,Baked dessert made from cheese and egg.
Apple Pie,Apples baked in a pie crust. Popular as a dessert and snack alike.
Pineapple Juice,Juice made from fresh pineapples. Great fragrance and color combined with sweet taste.
Tomato Juice,Juice made from fresh tomatoes. Thick and highly nutritious.
Grape Juice,"Juice made from fresh grapes. Rich, sweet and deep in flavor."
Orange Juice,Juice made from fresh oranges. A good mixture of sweet and sour.
Apple Juice,"Juice made from fresh apples. Enjoy the natural taste, color and smell of nature's candy!"
Strawberry Milk,Strawberries mixed with milk. Sweet and popular. Can be made with as much or as little milk as you'd like.
Fruit Juice,"Fresh juice made from various fruits. Twice the flavor, twice the nutrition, twice the fun."
Fruit Smoothie,"Juice made from mixed fruits and milk. Easy to drink, with a mellow flavor."
Vegetable Juice,A healthy juice made from various vegetables. Bitter but strangely addictive.
Veggie Smoothie,"Vegetables mixed with milk, softening the bitterness."
Mixed Juice,Juice made from mixed fruits and vegetables. Just like the name says!
Mixed Smoothie,Milk added to mixed fruits and vegetables. Cures fatigue.
Ketchup,Condiment made from tomatoes. Its tangy taste goes well with egg and potato recipes.
Butter,"Made by churning milk. Usually eaten with other food for taste. Sometimes eaten alone, by the stick, in shame."
Gold Juice,"Juice made from a mixture of golden ingredients. Not, uh... Not very good, honestly."
Prelude to Love,Strawberries and pink melons mixed together to form the sweet & sour taste of love. Might have a bitter aftertaste.
Hot Juice,"Made from hot-hot fruit. Always stays hot, so it's good to carry in cold weather."
Steamed Bread,Bread that's been steamed. Makes a good snack for kids.
Cheese Bread,"Steamed cheese bread. Moist and chewy, with a subtle scent of feet."
Meat Dumpling,A type of dim sum. Has a lovely sweet flavor and soft texture.
Chinese Manju,Soft bun filled with various ingredients and steamed.
Curry Manju,A soft dumpling filled with spices.
Steamed Gyoza,One of the common ways to cook potstickers. Juicy and savory.
Pound Cake,Square-shaped sponge cake. Steaming it brings out the sweet deliciousness.
Chocolate Sponge,Chocolate cake that's as light and soft as a cloud.
Flan,A jiggly dessert with a smooth texture. Shake it a little and watch it dance!
Pumpkin Flan,A flan with the sweet and savory flavor of pumpkin.
Dumplings,Small rice cakes on skewers. Traditional dessert eaten during festivals.
Salad,Assorted fresh vegetables. Both healthy and nutritious!
Sandwich,Vegetables and other ingredients placed between two slices of bread. Easy to eat with one hand.
Fruit Sandwich,Fruit placed between two slices of bread. Beloved by children...or so parents hope!
Pickled Turnip,Turnip that's been pickled. Has a fresh taste and is sometimes eaten after meals.
Pickles,Lightly pickled cucumber. Has a crunchy texture.
Bamboo Rice,"Rice mixed with bamboo shoots. A popular dish in spring, with a savory flavor."
Raisin Bread,"Bread with raisins in it. Soft, sweet and sour, all at once."
Ice Cream,"A dessert made by freezing milk. Melts in your mouth. If you eat it too fast, you'll regret it."
Relax Tea Leaves,A medicinal herb made by mixing various plants. Make tea with it for greater effect.
Onigiri,"Rice formed into a triangular shape. Often called a ""rice ball."" Easy to eat on the go, making it a staple lunch item."
Bread,"A staple food for many. You can toast it, stuff it, stick things between it or eat it any other way you'd like."
Salmon Onigiri,Onigiri with salmon inside. One of the most popular rice ball recipes.
Pickle Mix,Made with spring and winter turnips. The red and white colors symbolize good luck. Often served at festivals.
Turnip Heaven,"Turnips from three corners of the globe, gathered together into a turnip paradise. Try to eat all three at once!"
Rice,"A staple of the dining table. Plays well with other dishes, so it's used in a wide variety of recipes."
Chocolate,"Smooth and sweet, it's an absolute standard. Found in endless varieties."
Wine,A type of alcohol made from grapes. Popular for its taste and mellowness.
Elli Leaves,"An exotic plant with a dark, blue flower. Beautiful!"
Milk (S),A small portion of milk taken from a Buffamoo. High in calcium.
Milk (M),A medium portion of Milk taken from a Buffamoo. High in calcium.
Milk (L),A large amount of milk taken from a Buffamoo. High in calcium.
Egg (S),A small Cluckadoodle egg. Has a soft white shell.
Egg (M),A Cluckadoodle egg. Has a soft white shell.
Egg (L),A large Cluckadoodle egg. Has a soft white shell.
Mayonnaise,A condiment made by processing eggs. Used in various recipes with vegetables and fish.
Cheese,"Made by processing milk. Has a distinctive flavor. You can eat it as it is, or use it in various recipes."
Yogurt,Made by processing milk. It eases upset stomachs.
Honey,Honey collected for a queen bee. Very nutritious and popular for its natural sweetness.
Flour,"Made by grinding wheat. A necessity in making dough, used in many recipes. Pretty amazing if you think about it."
Oil,"Often used in fried recipes to add flavor and prevent sticking. Careful, it's highly flammable."
Curry Powder,Powder used to cook curry. Made by mixing various spices. Goes well with lots of stuff.
Rice Flour,Powder used to make rice dumplings. Adds stickiness to the resulting dish.
Medicine Bread,A magic bread that teaches you new recipes. You can learn one (simple) recipe appropriate to your skill.
Medicine Bread+,A nicely baked Medicine Bread. Teaches you a difficult recipe appropriate to your skill.
Cooking Bread,A nicely baked Cooking Bread. Teaches you a difficult recipe appropriate to your skill.
Cooking Bread+,A nicely baked Cooking Bread. Teaches you a difficult recipe appropriate to your skill.
Weapon Bread,A magic bread that teaches you new recipes. You can learn one (simple) recipe appropriate to your skill.
Weapon Bread+,A nicely baked Weapon Bread. Teaches you a difficult recipe appropriate to your skill.
Accessory Bread,A magic bread that teaches you new recipes. You can learn one (simple) recipe appropriate to your skill.
Accessory Bread+,A nicely baked Accessory Bread. Teaches you a difficult recipe appropriate to your skill.
Farming Bread,A magic bread that teaches you new recipes. You can learn one (simple) recipe appropriate to your skill.
Farming Bread+,A nicely baked Farming Bread. Teaches you a difficult recipe appropriate to your skill.
Broadsword,"A light, easy-to-use sword. Recommended for beginners. Some even use it for cooking."
Steel Sword,A short sword forged from steel. Has a longer than average blade that gives you an extended reach.
Wind Sword,A sword imbued with the magic power of wind. Each swing spawns a miniature gale.
Aqua Sword,A sword imbued with the magic power of water. Its blade is always wet.
Defender,A sword designed to be used with a shield. Raises resistance toward incoming attacks and knockouts.
Aerial Blade,A sword imbued with the magic power of wind. Its magical power makes it lighter than other swords.
Burning Sword,A sword with a fiery blade. One touch and you'll be burned.
Sakura,"A cursed red sword. Though it has a beautiful name, its edge is coated with poison."
Luck Blade,A sword that brings fortune to its wielder. You should totally buy a lottery ticket!
Platinum Sword,"A sword made from fine platinum. Highly durable. Makes its bearer more popular just by havin- Hey, what are you doing later tonight?"
Raventine,"A short sword with high heat. According to legend, it's said to have once turned a lake into a hot spring."
Icifier,The chill from this sword freezes water in the air. Perfect for making shaved ice.
Soul Eater,A magical sword that eats souls. It has the power to take away an enemy's life.
Smash Blade,"A sword designed to target a foe's vital points, no matter what style or form you use."
Dragon Slayer,A sword in the shape of three dragon heads. The three often fight over who's the best.
Sunspot,A sword as hot as the sun. Some say it's so hot that it turns everything it strikes to ash.
Star Saber,"A short sword with a swing as beautiful as a shooting star. Just swing it, and bam, you're a superstar!"
Gaia Sword,"A sword imbued with the magic power of earth. Because it's made from very hard material, it won't chip easily."
Grantale,"A sword imbued with the magic power of earth. Very tough, and guaranteed not to break or your money back!"
Chaos Blade,Companion to the Chaos Shield. Chooses its bearer with its magical power.
Rune Blade,A treasured sword with rune power. The light beaming from it casts no shadow.
Steel Sword+,A strengthened version of the Steel Sword. Born anew with freshly-colored blades.
Platinum Sword+,A strengthened version of the Platinum Sword. Radiates light from its upgraded platinum.
Cutlass,An old sword that belonged to pirates. Sailors carry them as charms.
Back Scratcher,A sword (?) used to scratch itchy backs. Maybe your foes will freak out when they see it?
Durendal,A sword with a shining blade. You can attack your foes while they're captivated by its radiant beauty.
Gladius,"A short sword forged through years of disciplined smithing. Like, really sharp and stuff."
Gorgeous Sword,A gorgeous and dazzling sword which shines with an elegance like that of freshly-fallen snow.
Spoon,A magic sword that somehow makes people want to eat pudding.
Rune Legend,Swordsmen call this a legendary short sword. The runes imbued on its blade shine majestically.
Snakesword,A sword made by connecting small bits of metal into one whip-like blade. Long-ranged and hard to avoid.
Veggieblade,A vegetable used as a sword. I wonder how much damage it can cause...
Invisiblade,Can you see the true blade?
Plant Sword,"A sword made from a plant. The more passionately you tend it, the bigger it grows and the stronger it becomes."
Claymore,A long sword that's easy to swing. Has a fun ring on it that you can play with. (But don't try it at home!)
Zweihaender,"A large two-handed sword. Not much else to say -- it's very straight-forward and to the point, if you know what I mean."
